,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
226,lagoa,20.0,PT,2018-11-30 18:00:00,62.0,37.14,-8.45,59.0,6.93
227,yulara,40.0,AU,2018-11-30 18:00:00,88.0,-25.24,130.99,68.0,10.29
228,siguiri,0.0,GN,2018-11-30 18:31:04,26.0,11.42,-9.17,89.01,7.02
229,ugoofaaru,20.0,MV,2018-11-30 18:31:05,100.0,5.67,73.0,83.39,15.79
231,kununurra,0.0,AU,2018-11-30 18:11:00,78.0,-15.77,128.74,80.6,5.57
233,lavrentiya,68.0,RU,2018-11-30 18:31:06,99.0,65.58,-170.99,32.81,6.58
234,kaseda,56.0,JP,2018-11-30 18:31:07,100.0,31.42,130.32,61.16,5.28
235,uray,88.0,RU,2018-11-30 18:31:07,75.0,60.13,64.8,3.2,6.24
236,turochak,88.0,RU,2018-11-30 18:31:08,68.0,52.26,87.12,6.53,9.31
237,bambous virieux,20.0,MU,2018-11-30 18:00:00,83.0,-20.34,57.76,77.0,2.24
238,kurilsk,68.0,RU,2018-11-30 18:31:08,100.0,45.23,147.88,33.21,13.29
239,fougamou,92.0,GA,2018-11-30 18:31:09,95.0,-1.22,10.59,76.01,2.55
240,vredendal,12.0,ZA,2018-11-30 18:31:09,59.0,-31.68,18.49,65.48,4.23
241,nan,20.0,TH,2018-11-30 18:31:10,91.0,18.78,100.78,66.2,2.33
244,ndola,68.0,ZM,2018-11-30 18:31:11,89.0,-12.97,28.64,66.38,10.42
245,hokitika,88.0,NZ,2018-11-30 18:31:11,92.0,-42.72,170.96,60.31,3.27
246,victor harbor,0.0,AU,2018-11-30 18:00:00,35.0,-35.55,138.62,69.8,14.99
247,kainantu,64.0,PG,2018-11-30 18:31:12,96.0,-6.29,145.87,64.94,1.59
248,sistranda,75.0,NO,2018-11-30 17:50:00,53.0,63.73,8.83,50.0,18.34
249,bambanglipuro,92.0,ID,2018-11-30 18:31:13,100.0,-7.95,110.28,73.67,3.38
250,bandarbeyla,80.0,SO,2018-11-30 18:31:13,100.0,9.49,50.81,80.6,21.39
251,coihaique,20.0,CL,2018-11-30 18:00:00,35.0,-45.58,-72.07,57.83,9.17
252,ancud,20.0,CL,2018-11-30 18:00:00,44.0,-41.87,-73.83,59.0,9.17
253,luderitz,8.0,NA,2018-11-30 18:31:14,81.0,-26.65,15.16,60.71,10.54
254,diu,20.0,IN,2018-11-30 18:26:23,62.0,20.71,70.98,66.83,4.23
255,thompson,90.0,CA,2018-11-30 18:00:00,92.0,55.74,-97.86,19.4,3.38
256,yenagoa,100.0,NG,2018-11-30 18:31:16,60.0,4.92,6.26,86.63,2.59
257,haines junction,44.0,CA,2018-11-30 18:31:16,90.0,60.75,-137.51,3.2,2.04
259,kingman,1.0,US,2018-11-30 17:52:00,63.0,35.19,-114.05,53.89,16.11
261,east london,20.0,ZA,2018-11-30 18:00:00,83.0,-33.02,27.91,69.8,13.87
262,flinders,75.0,AU,2018-11-30 18:00:00,93.0,-34.58,150.85,62.6,1.88
263,daru,12.0,SL,2018-11-30 18:31:18,77.0,7.99,-10.85,82.4,2.77
264,teguldet,76.0,RU,2018-11-30 18:31:18,59.0,57.31,88.17,4.82,8.63
265,touros,0.0,BR,2018-11-30 18:26:53,68.0,-5.2,-35.46,85.41,13.33
266,bilibino,56.0,RU,2018-11-30 18:31:19,38.0,68.06,166.44,-26.19,2.1
267,alta floresta,88.0,BR,2018-11-30 18:31:19,86.0,-9.87,-56.08,78.35,2.82
268,castro,20.0,CL,2018-11-30 18:00:00,44.0,-42.48,-73.76,59.0,9.17
269,pevek,24.0,RU,2018-11-30 18:31:20,88.0,69.7,170.27,-3.64,1.25
270,norman wells,75.0,CA,2018-11-30 18:00:00,84.0,65.28,-126.83,8.6,2.24
271,san cristobal,40.0,EC,2018-11-30 18:00:00,56.0,-0.39,-78.55,68.0,2.24
272,veraval,75.0,FR,2018-11-30 18:00:00,93.0,49.65,0.71,46.99,6.93
273,samarai,100.0,PG,2018-11-30 18:31:21,100.0,-10.62,150.67,82.81,9.04
275,bilma,0.0,NE,2018-11-30 18:31:22,31.0,18.69,12.92,62.78,4.56
276,pacific grove,75.0,US,2018-11-30 17:55:00,59.0,36.62,-121.92,56.39,11.41
278,kaitangata,80.0,NZ,2018-11-30 18:31:23,93.0,-46.28,169.85,53.51,2.77
279,castres,100.0,FR,2018-11-30 18:00:00,93.0,43.6,2.24,49.17,11.41
280,souillac,0.0,FR,2018-11-30 18:00:00,87.0,45.6,-0.6,50.0,4.7
281,lasa,75.0,CY,2018-11-30 18:00:00,87.0,34.92,32.53,59.0,6.93
282,komsomolskiy,68.0,RU,2018-11-30 18:31:24,70.0,67.55,63.78,-5.67,3.27
284,palmer,0.0,AU,2018-11-30 18:00:00,35.0,-34.85,139.16,69.8,14.99
285,puksoozero,80.0,RU,2018-11-30 18:31:25,83.0,62.59,40.61,27.45,16.98
286,yellowknife,75.0,CA,2018-11-30 18:20:00,84.0,62.45,-114.38,5.0,5.82
287,codrington,0.0,AU,2018-11-30 18:00:00,93.0,-28.95,153.24,63.23,2.48
288,fuxin,0.0,CN,2018-11-30 18:31:26,60.0,42.02,121.65,7.79,4.34
289,ardakan,0.0,IR,2018-11-30 18:00:00,34.0,32.31,54.02,51.8,4.7
290,aranos,68.0,NA,2018-11-30 18:31:26,48.0,-24.14,19.11,78.48,10.27
291,goulburn,0.0,AU,2018-11-30 18:31:27,79.0,-34.75,149.72,49.01,2.37
292,candolim,0.0,IN,2018-11-30 18:00:00,78.0,15.52,73.76,78.8,3.36
293,namie,76.0,JP,2018-11-30 18:31:27,100.0,37.52,140.86,41.27,4.27
294,namatanai,64.0,PG,2018-11-30 18:31:28,100.0,-3.66,152.44,82.35,7.85
295,vila velha,75.0,BR,2018-11-30 17:00:00,94.0,-3.71,-38.6,77.0,8.05
296,puerto leguizamo,76.0,CO,2018-11-30 18:31:28,77.0,-0.19,-74.78,82.81,5.57
297,margate,75.0,AU,2018-11-30 18:00:00,71.0,-43.03,147.26,51.8,5.82
299,concordia sagittaria,75.0,IT,2018-11-30 18:20:00,65.0,45.76,12.85,40.24,5.82
300,burns lake,76.0,CA,2018-11-30 18:31:29,93.0,54.23,-125.76,22.01,2.77
301,byron bay,75.0,AU,2018-11-30 18:00:00,93.0,-28.65,153.62,63.91,2.59
302,ilulissat,75.0,GL,2018-11-30 17:50:00,67.0,69.22,-51.1,19.4,10.29
304,baykit,68.0,RU,2018-11-30 18:31:30,61.0,61.68,96.39,-22.46,9.42
305,zaragoza,20.0,ES,2018-11-30 18:00:00,71.0,41.65,-0.88,48.97,5.82
306,qorveh,80.0,IR,2018-11-30 18:31:31,89.0,35.17,47.8,36.9,6.13
308,ucluelet,75.0,CA,2018-11-30 18:00:00,100.0,48.94,-125.55,42.8,3.36
309,harper,90.0,US,2018-11-30 17:55:00,72.0,30.3,-99.24,68.07,13.87
310,kodiak,1.0,US,2018-11-30 17:55:00,85.0,39.95,-94.76,37.36,9.17
311,koutsouras,44.0,GR,2018-11-30 18:31:32,100.0,35.03,25.95,59.99,22.06
312,taber,75.0,CA,2018-11-30 18:00:00,74.0,49.79,-112.14,30.2,6.93
313,kardla,8.0,EE,2018-11-30 17:50:00,38.0,58.44,26.57,24.8,17.22
315,garden city,90.0,US,2018-11-30 18:15:00,61.0,40.73,-73.63,40.93,3.56
316,kindu,32.0,CD,2018-11-30 18:31:34,85.0,-2.95,25.92,76.01,2.33
317,charlestown,90.0,US,2018-11-30 17:56:00,59.0,41.38,-71.64,39.2,5.82
318,xuddur,8.0,SO,2018-11-30 18:31:35,52.0,4.12,43.89,79.88,11.43
319,gonbad-e qabus,75.0,IR,2018-11-30 18:00:00,87.0,37.25,55.17,53.6,3.11
